chapterno,score,words
92,4.377625000000005,"[('terrorism', 1.48), ('terror', 1.76), ('war', 1.8), ('fatal', 1.8), ('cry', 1.84)]"
93,5.6112820512820525,"[('family', 7.72), ('great', 7.88), ('christmas', 7.96), ('love', 8.42), ('laughter', 8.5)]"
94,5.124927536231886,"[('succeed', 7.76), ('great', 7.88), ('loved', 7.96), ('victorious', 7.98), ('smiled', 8.08)]"
95,4.382571428571429,"[('suffered', 2.24), ('lies', 2.62), ('ugly', 2.74), ('screamed', 3.27), ('savage', 3.31)]"
96,5.729166666666667,"[('wonderful', 7.76), ('fantastic', 7.78), ('beautiful', 7.92), ('rich', 7.98), ('happy', 8.3)]"
97,4.26526785714286,"[('terror', 1.76), ('failed', 1.84), ('dead', 2.0), ('violent', 2.06), ('painful', 2.12)]"
98,5.509787234042553,"[('intelligent', 7.35), ('success', 7.86), ('great', 7.88), ('christmas', 7.96), ('smile', 8.1)]"
99,5.39032258064516,"[('hope', 7.38), ('gold', 7.56), ('romantic', 7.72), ('great', 7.88), ('beautiful', 7.92)]"
100,5.159298245614038,"[('christmas', 7.96), ('rich', 7.98), ('joy', 8.16), ('laugh', 8.22), ('happiness', 8.44)]"
101,5.576666666666669,"[('joy', 8.16), ('laugh', 8.22), ('laughed', 8.26), ('happy', 8.3), ('love', 8.42)]"
102,5.296349206349207,"[('million', 7.38), ('honest', 7.46), ('succeeded', 7.62), ('mother', 7.68), ('great', 7.88)]"
103,4.857333333333333,"[('mourning', 2.86), ('lack', 3.16), ('fell', 3.22), ('isolated', 3.46), ('no', 3.48)]"
104,4.647428571428574,"[('assassination', 1.48), ('death', 1.54), ('fatal', 1.8), ('sadness', 1.88), ('suffers', 2.08)]"
105,5.7540000000000004,"[('sun', 7.8), ('kissed', 7.84), ('joy', 8.16), ('happy', 8.3), ('happiness', 8.44)]"
106,5.836299999999998,"[('smile', 8.1), ('joy', 8.16), ('happy', 8.3), ('love', 8.42), ('happiness', 8.44)]"
107,4.62625,"[('poor', 2.32), ('unfortunate', 2.94), ('suspicious', 3.28), ('never', 3.34), ('against', 3.4)]"
108,4.882666666666666,"[('dead', 2.0), ('poor', 2.32), ('ill', 2.42), ('lose', 2.76), ('burn', 2.92)]"
109,5.0028813559322005,"[('fail', 1.96), ('useless', 2.52), ('betrayed', 2.57), ('lie', 2.6), ('lost', 2.76)]"
110,5.09625,"[('like', 7.22), ('child', 7.24), ('hope', 7.38), ('moonlight', 7.5), ('lucky', 7.68)]"
111,4.169583333333333,"[('blind', 2.58), ('lying', 2.58), ('retarded', 2.62), ('doubt', 3.16), ('never', 3.34)]"
112,4.397391304347827,"[('tear', 3.1), ('severe', 3.16), ('forced', 3.16), ('fell', 3.22), ('against', 3.4)]"
113,4.056557377049181,"[('terror', 1.76), ('cry', 1.84), ('crying', 2.04), ('prison', 2.06), ('violent', 2.06)]"
114,4.798222222222221,"[('died', 1.56), ('dying', 2.1), ('tragic', 2.34), ('blind', 2.58), ('demons', 2.64)]"
115,4.557741935483872,"[('funereal', 2.1), ('horrible', 2.24), ('poor', 2.32), ('fear', 2.32), ('lying', 2.58)]"
116,5.047500000000001,"[('gently', 7.29), ('life', 7.32), ('freedom', 7.9), ('music', 8.02), ('love', 8.42)]"
117,5.192444444444442,"[('blessing', 7.4), ('earn', 7.5), ('moonlight', 7.5), ('wonderful', 7.76), ('joy', 8.16)]"
118,4.848691099476438,"[('death', 1.54), ('died', 1.56), ('kill', 1.56), ('arrested', 1.64), ('arresting', 1.64)]"
119,4.9126315789473685,"[('funereal', 2.1), ('terrible', 2.84), ('impossible', 2.9), ('severe', 3.16), ('difficult', 3.18)]"
120,5.206699029126215,"[('festivals', 7.7), ('festival', 7.7), ('great', 7.88), ('loved', 7.96), ('love', 8.42)]"
121,6.420000000000001,"[('festival', 7.7), ('succeed', 7.76), ('illustrious', 7.8), ('great', 7.88), ('happiness', 8.44)]"
122,6.3411475409836076,"[('smile', 8.1), ('joy', 8.16), ('laughs', 8.18), ('laugh', 8.22), ('happiness', 8.44)]"
123,5.56018181818182,"[('celebrate', 7.98), ('smiled', 8.08), ('win', 8.12), ('joy', 8.16), ('love', 8.42)]"
124,5.781315789473684,"[('like', 7.22), ('divine', 7.26), ('perfectly', 7.28), ('mother', 7.68), ('great', 7.88)]"
125,6.991333333333336,"[('family', 7.72), ('great', 7.88), ('beautiful', 7.92), ('loved', 7.96), ('excellent', 8.18)]"
126,5.003636363636364,"[('prison', 2.06), ('coffin', 2.96), ('severe', 3.16), ('cut', 3.42), ('dust', 3.6)]"
127,6.496206896551724,"[('loves', 7.96), ('pleasure', 8.08), ('laughs', 8.18), ('laughing', 8.2), ('love', 8.42)]"
128,6.914444444444445,"[('like', 7.22), ('satisfy', 7.34), ('adoration', 7.42), ('finest', 7.66), ('mother', 7.68)]"
129,4.969117647058822,"[('assassinated', 1.48), ('death', 1.54), ('burden', 2.82), ('wound', 2.96), ('hostile', 3.02)]"
130,6.288,"[('ill', 2.42), ('idea', 7.06), ('book', 7.24), ('god', 7.28), ('food', 7.44)]"
131,5.063333333333334,"[('diamonds', 7.68), ('wonderful', 7.76), ('illustrious', 7.8), ('great', 7.88), ('healthy', 8.02)]"
132,4.94767441860465,"[('kill', 1.56), ('tortures', 1.58), ('war', 1.8), ('violence', 1.86), ('attack', 2.42)]"
133,5.945555555555555,"[('liberty', 7.24), ('respectful', 7.34), ('family', 7.72), ('splendid', 7.86), ('rich', 7.98)]"
134,6.091538461538462,"[('tree', 7.12), ('god', 7.28), ('respect', 7.34), ('intelligent', 7.35), ('great', 7.88)]"
135,5.017435897435897,"[('truth', 7.42), ('goodness', 7.58), ('illustrious', 7.8), ('great', 7.88), ('love', 8.42)]"
136,3.9666666666666663,"[('suicide', 1.3), ('torture', 1.58), ('suffers', 2.08), ('hell', 2.22), ('blame', 2.82)]"
137,4.8776190476190475,"[('suffers', 2.08), ('grave', 2.56), ('error', 2.6), ('lies', 2.62), ('mistake', 2.78)]"
138,5.266893939393938,"[('friend', 7.66), ('angel', 7.68), ('mother', 7.68), ('peace', 7.86), ('sunshine', 7.94)]"
139,5.677659574468086,"[('succeeded', 7.62), ('mother', 7.68), ('success', 7.86), ('great', 7.88), ('excellent', 8.18)]"
140,5.186363636363635,"[('wonderful', 7.76), ('blessed', 7.78), ('peace', 7.86), ('great', 7.88), ('paradise', 7.92)]"
141,4.464148936170213,"[('died', 1.56), ('kills', 1.78), ('bomb', 1.96), ('dead', 2.0), ('sick', 2.02)]"
142,4.9823469387755095,"[('die', 1.74), ('funereal', 2.1), ('cried', 2.2), ('tragic', 2.34), ('burial', 2.44)]"
143,4.544666666666667,"[('dead', 2.0), ('grave', 2.56), ('lose', 2.76), ('lost', 2.76), ('terrible', 2.84)]"
144,4.773664122137404,"[('suicide', 1.3), ('death', 1.54), ('killed', 1.56), ('die', 1.74), ('violence', 1.86)]"
145,5.459298245614035,"[('mother', 7.68), ('beauty', 7.76), ('won', 8.1), ('successful', 8.16), ('excellent', 8.18)]"
146,5.481865671641793,"[('excellent', 8.18), ('laugh', 8.22), ('laughed', 8.26), ('love', 8.42), ('happiness', 8.44)]"
147,5.4511111111111115,"[('child', 7.24), ('play', 7.26), ('god', 7.28), ('couple', 7.3), ('food', 7.44)]"
148,4.838888888888888,"[('dead', 2.0), ('crying', 2.04), ('funeral', 2.1), ('hatred', 2.22), ('grave', 2.56)]"
149,5.692499999999999,"[('children', 7.12), ('like', 7.22), ('baby', 7.28), ('thanks', 7.4), ('enthusiasm', 7.46)]"
150,5.199999999999999,"[('pale', 3.8), ('children', 7.12), ('child', 7.24), ('god', 7.28), ('fortune', 7.3)]"
151,6.098292682926829,"[('sweet', 7.64), ('great', 7.88), ('sunshine', 7.94), ('loves', 7.96), ('free', 7.96)]"
152,5.398222222222222,"[('families', 7.54), ('shines', 7.6), ('honesty', 7.76), ('splendid', 7.86), ('great', 7.88)]"
153,4.454146341463414,"[('death', 1.54), ('died', 1.56), ('die', 1.74), ('poor', 2.32), ('fear', 2.32)]"
154,5.674166666666667,"[('helped', 7.28), ('pleases', 7.4), ('perfect', 7.42), ('celebrated', 7.8), ('loves', 7.96)]"
155,6.6499999999999995,"[('child', 7.24), ('rose', 7.32), ('miracles', 7.44), ('handsome', 7.54), ('paradise', 7.92)]"
156,5.369444444444444,"[('festival', 7.7), ('splendid', 7.86), ('heaven', 7.86), ('great', 7.88), ('happy', 8.3)]"
157,5.562499999999999,"[('faithful', 7.51), ('genius', 7.6), ('great', 7.88), ('laughing', 8.2), ('laugh', 8.22)]"
158,5.515000000000001,"[('employed', 7.28), ('thanks', 7.4), ('sing', 7.44), ('splendid', 7.86), ('great', 7.88)]"
159,5.651014492753626,"[('great', 7.88), ('loved', 7.96), ('laugh', 8.22), ('laughed', 8.26), ('love', 8.42)]"
160,5.936,"[('progress', 7.26), ('passion', 7.3), ('pretty', 7.32), ('income', 7.58), ('great', 7.88)]"
161,6.1400000000000015,"[('millions', 7.26), ('lovers', 7.54), ('flowers', 7.56), ('maternal', 7.68), ('great', 7.88)]"
162,6.301578947368421,"[('astonishment', 7.42), ('fond', 7.53), ('beauties', 7.76), ('celebrated', 7.8), ('laughter', 8.5)]"
163,5.438823529411765,"[('prizes', 7.2), ('hope', 7.38), ('adored', 7.42), ('gold', 7.56), ('great', 7.88)]"
164,5.784444444444443,"[('fortune', 7.3), ('satisfaction', 7.34), ('cares', 7.36), ('fond', 7.53), ('great', 7.88)]"
165,4.84175,"[('died', 1.56), ('sorrow', 2.12), ('robbed', 2.18), ('hell', 2.22), ('poor', 2.32)]"
166,3.2962499999999997,"[('abandoning', 2.54), ('lost', 2.76), ('never', 3.34), ('against', 3.4), ('no', 3.48)]"
167,5.58404255319149,"[('positive', 7.8), ('splendidly', 7.86), ('great', 7.88), ('paradise', 7.92), ('pleasure', 8.08)]"
168,5.448813559322035,"[('handsome', 7.54), ('income', 7.58), ('great', 7.88), ('friends', 7.92), ('happy', 8.3)]"
169,5.203333333333333,"[('great', 7.88), ('rich', 7.98), ('joy', 8.16), ('love', 8.42), ('happiness', 8.44)]"
170,5.526203703703702,"[('pleasures', 8.08), ('smiled', 8.08), ('smile', 8.1), ('joy', 8.16), ('love', 8.42)]"
171,4.797142857142856,"[('death', 1.54), ('evil', 1.9), ('dead', 2.0), ('sorrow', 2.12), ('grief', 2.33)]"
172,5.492608695652175,"[('family', 7.72), ('loved', 7.96), ('rich', 7.98), ('happy', 8.3), ('love', 8.42)]"
173,5.498984375000002,"[('kissed', 7.84), ('splendid', 7.86), ('great', 7.88), ('free', 7.96), ('love', 8.42)]"
