Rank,Word,Happiness_Score,Standard_Deviation
8511,lock,4.58,1.01
10176,lockdown,2.04,0.9
9327,locked,3.7,1.27
6421,locker,5.16,0.96
6935,loco,5.04,1.71
5579,log,5.34,0.96
1981,logic,6.22,1.47
1607,logical,6.36,1.4
3914,logo,5.68,1.08
6142,lois,5.22,1.27
762,lol,6.84,1.79
4211,lolol,5.62,2.18
3008,lolz,5.9,1.56
1376,london,6.46,1.63
8940,lone,4.2,1.56
9923,loneliness,2.66,1.81
9834,lonely,2.86,1.51
9699,lonesome,3.12,1.62
8161,long,4.74,1.66
,longed,4.43,1.7
6340,longer,5.18,1.17
4911,longest,5.48,1.45
8694,longing,4.43,1.7
,longingly,4.43,1.7
4397,long-term,5.58,1.79
6052,longtime,5.24,1.73
4610,look,5.54,1.13
4398,looked,5.58,1.36
5391,lookin,5.38,1.37
2866,looking,5.94,0.98
2712,looks,5.98,1.38
5014,loop,5.46,1.31
9152,loose,3.96,1.65
,loosely,3.96,1.65
,looser,3.96,1.65
5535,loot,5.35,2.09
1661,lord,6.34,1.83
4399,lords,5.58,2.14
8264,los,4.7,1.18
9883,lose,2.76,1.1
10074,loser,2.2,1.11
9641,losers,3.22,1.88
9889,loses,2.74,1.24
9938,losing,2.62,1.18
,losingly,2.62,1.18
9976,loss,2.56,1.5
10011,losses,2.46,1.45
9884,lost,2.76,1.39
3490,lot,5.78,1.37
1805,lots,6.28,1.43
6278,lotta,5.19,1.43
,lotteries,6.38,2.13
1551,lottery,6.38,2.13
5309,lou,5.4,1.31
8795,loud,4.34,1.88
7872,louder,4.83,1.55
6513,louis,5.14,1.29
5660,louise,5.32,1.17
4008,louisiana,5.66,1.36
1309,lounge,6.5,1.34
,lounged,6.5,1.34
,lounges,6.5,1.34
,lounging,6.5,1.34
6514,lovato,5.14,1.14
2,love,8.42,1.11
36,loved,7.96,1.16
,lovelier,7.47,1.54
,loveliest,7.62,1.54
,loveliness,7.32,1.54
294,lovely,7.32,1.54
310,lover,7.3,1.93
165,lovers,7.54,1.28
37,loves,7.96,1.37
458,lovin,7.14,1.97
38,loving,7.96,1.01
,lovingly,7.96,1.01
9349,low,3.66,1.12
8886,lower,4.24,1.08
9604,lowest,3.3,1.17
205,loyal,7.46,1.25
,loyalties,7.04,1.77
554,loyalty,7.04,1.77
6422,lt,5.16,0.98
7974,ltd,4.8,1.11
7620,lu,4.9,0.65
347,luck,7.26,1.88
,lucked,7.26,1.88
,luckier,7.83,1.27
,luckiest,7.98,1.27
333,luckily,7.28,1.65
,luckiness,7.26,1.88
106,lucky,7.68,1.27
8568,ludacris,4.54,1.75
7975,lugar,4.8,1.32
6469,lui,5.14,1.27
,lullabies,6.98,1.93
619,lullaby,6.98,1.93
4912,luna,5.48,1.74
229,lunch,7.42,1.09
5310,lung,5.4,1.31
4165,lungs,5.63,1.3
8399,lust,4.64,2.04
,lusted,4.64,2.04
,lustful,4.64,2.04
,lustfully,4.64,2.04
,lustfulness,4.64,2.04
,lusting,4.64,2.04
,lusts,4.64,2.04
7172,luther,5,0.88
412,luv,7.2,1.84
,luxuriate,7.3,1.68
,luxuriated,7.3,1.68
,luxuriating,7.3,1.68
,luxurious,7.3,1.68
311,luxury,7.3,1.68
7024,luz,5.02,1.38
9962,lying,2.58,1.7
9642,lynch,3.22,2.12
,lynched,3.22,2.12
,lynches,3.22,2.12
,lynching,3.22,2.12
6341,lynn,5.18,1.29
2058,lyrical,6.19,1.55
989,lyrics,6.68,1.56
6884,m,5.06,1.04
2380,ma,6.08,2.05
7621,maar,4.9,0.51
3655,mac,5.74,1.35
2713,macbook,5.98,1.52
5392,machine,5.38,1.26
4611,machinery,5.54,1.34
3915,machines,5.68,1.3
7653,macht,4.9,1.01
7622,mack,4.9,1.67
9950,mad,2.6,1.32
,madam,6.1,1.63
2319,madame,6.1,1.63
2785,made,5.96,1.07
4913,madison,5.48,1.2
9393,madness,3.6,1.82
9871,mafia,2.81,1.79
,mafias,2.81,1.79
5870,mag,5.28,1.03
3009,magazine,5.9,1.67
2443,magazines,6.06,1.45
808,magic,6.8,1.76
255,magical,7.38,1.29
,magically,7.38,1.29
1856,magnetic,6.26,1.29
,magnetically,6.26,1.29
3569,magnitude,5.76,1.42
7759,mah,4.86,0.93
6978,mai,5.04,0.99
1608,mail,6.36,1.69
5311,main,5.4,1.21
3320,maine,5.82,1.49
5971,mainly,5.26,1.23
3570,maintain,5.76,1.04
1609,maintained,6.36,1.44
3439,maintaining,5.8,1.5
7838,maintenance,4.84,1.6
7693,mais,4.88,0.77
1156,majesty,6.58,1.69
3571,major,5.76,1.42
3010,majority,5.9,1.11
2636,make,6,0.99
3321,maker,5.82,1.04
3572,makers,5.76,1
4501,makes,5.56,1.25
3573,makeup,5.76,1.77
7440,makin,4.94,1.25
1914,making,6.24,1.19
8465,mal,4.6,1.37
5312,malcolm,5.4,1.01
,malcontent,3.84,1.87
2562,male,6.02,1.36
2258,males,6.12,1.47
3011,mall,5.9,1.4
,maltreated,1.83,1.31
,maltreater,1.83,1.31
,maltreatment,1.83,1.31
,maltreats,1.83,1.31
368,mama,7.24,1.76
2786,mambo,5.96,1.73
4059,mami,5.65,1.32
527,mamma,7.06,1.7
3012,man,5.9,1.4
3656,manage,5.74,1.19
3916,managed,5.68,1.13
8093,management,4.76,1.44
7083,manager,5.02,1.5
6693,managers,5.1,1.36
4212,managing,5.62,1.26
4502,manchester,5.56,1.33
4009,mane,5.66,1.36
,manes,5.66,1.36
6792,manhasset,5.08,1.31
3824,manhattan,5.7,1.74
4807,manifest,5.5,1.36
894,mankind,6.74,1.6
5393,manner,5.38,1.35
809,manners,6.8,1.25
6143,mano,5.22,1.13
3574,manor,5.76,1.38
,manors,5.76,1.38
8010,manos,4.8,1.27
6694,mans,5.1,1.39
4400,man's,5.58,1.51
795,mansion,6.82,1.63
,mansions,6.82,1.63
,manslaughter,1.48,1.01
3575,manual,5.76,1.36
3440,manufacture,5.8,1.43
5580,manufacturer,5.34,1.02
5015,manufacturers,5.46,1.15
4010,manufacturing,5.66,1.35
3623,manuscript,5.75,1.3
,manuscripts,5.75,1.3
3322,many,5.82,1.44
4808,map,5.5,1.43
2259,maps,6.12,1.15
7839,mar,4.84,1.23
4503,marathon,5.56,1.23
,marathons,5.56,1.23
6695,marc,5.1,1.27
3491,march,5.78,1.28
,marched,5.68,1.36
,marches,5.68,1.36
3917,marching,5.68,1.36
7084,marcia,5.02,1.2
5972,marcus,5.26,0.99
3492,mare,5.78,1.36
5313,margaret,5.4,1.23
6979,margin,5.04,0.99
7499,marginal,4.94,1.37
,marginally,4.94,1.37
,margins,5.04,0.99
4809,maria,5.5,1.23
4401,marie,5.58,1.03
6885,marilyn,5.06,1.63
3732,marine,5.72,1.65
1610,mario,6.36,1.44
6793,marion,5.08,1.05
7173,marjorie,5,1.25
4914,mark,5.48,1.3
7542,marked,4.92,1.29
1806,market,6.28,1.6
,marketed,5.2,1.95
6238,marketing,5.2,1.95
2320,markets,6.1,1.17
6696,marks,5.1,1.43
959,marriage,6.7,2.27
861,married,6.76,1.85
,marries,6.98,1.87
609,marry,6.98,1.87
,marrying,6.98,1.87
3918,mars,5.68,0.96
5973,marshall,5.26,0.94
5871,martha,5.28,1.2
5974,martin,5.26,0.94
6794,martinez,5.08,1.14
7174,marvin,5,0.99
3083,mary,5.88,1.41
3244,maryland,5.84,1.67
5661,mas,5.32,1.04
8014,mase,4.79,1.15
7031,mash,5.02,1.73
7760,mask,4.86,1.25
10177,masks,3.38,1.58
5476,mason,5.36,0.94
5107,mass,5.44,1.11
4402,massachusetts,5.58,1.33
,massacre,1.7,1.36
,massacred,1.7,1.36
,massacres,1.7,1.36
661,massage,6.94,1.66
6182,masses,5.21,1.32
5581,massive,5.34,1.29
3825,master,5.7,1.52
2260,masters,6.12,1.33
3396,master's,5.8,1.48
6697,mata,5.1,1.34
2787,match,5.96,0.99
4504,matches,5.56,1.21
1343,mate,6.48,1.78
4213,material,5.62,0.92
4612,materials,5.54,1.07
,maternal,7.68,1.67
5016,math,5.46,1.95
4443,mathematical,5.57,1.85
4060,mathematics,5.65,1.6
3245,matrix,5.84,1.42
5975,matt,5.26,1.32
5314,matter,5.4,1.01
6053,matters,5.24,1.32
5017,matthew,5.46,1.03
1310,mature,6.5,1.27
,matured,6.5,1.27
,matures,6.5,1.27
,maturing,6.5,1.27
,maturity,6.5,1.27
8265,mau,4.7,0.93
5582,maureen,5.34,0.8
6239,maurice,5.2,1.36
3826,max,5.7,1.23
1552,maximum,6.38,1.52
4915,may,5.48,1.63
8266,maybe,4.7,1.11
7085,mayer,5.02,1.15
5976,mayor,5.26,1.31
6240,mayor's,5.2,1.31
4749,maze,5.51,1.6
7267,mb,4.98,0.84
2867,mba,5.94,1.83
5583,mc,5.34,1.39
8941,mccain,4.2,1.78
2714,mcdonalds,5.98,2.33
5762,md,5.3,1.13
1157,me,6.58,1.43
429,meal,7.18,1.47
9339,mean,3.68,1.92
2637,meaning,6,1.05
,meaningless,2.98,1.91
,meaninglessly,2.98,1.91
,meaninglessness,2.98,1.91
1945,meanings,6.22,1.33
4119,means,5.64,1.35
5108,meant,5.44,0.99
5872,meanwhile,5.28,0.88
5662,measure,5.32,1.1
4505,measured,5.56,1.33
4750,measurement,5.51,1.29
5152,measurements,5.44,1.6
6980,measures,5.04,1.24
4166,measuring,5.63,1.2
2032,meat,6.2,2.14
3697,mechanical,5.73,1.48
3873,mechanism,5.69,1.36
3576,mechanisms,5.76,1.12
7360,med,4.96,0.97
836,medal,6.78,1.43
,medals,6.78,1.43
4214,media,5.62,1.81
6795,medicaid,5.08,1.86
8210,medical,4.72,1.6
5763,medicare,5.3,1.68
6796,medicine,5.08,1.69
,medicines,5.08,1.69
6241,medieval,5.2,1.6
5663,medium,5.32,0.79
8046,meds,4.78,1.37
7175,mee,5,0.7
7086,meer,5.02,1.1
1553,meet,6.38,1.26
5018,meeting,5.46,1.34
7976,meetings,4.8,1.54
2715,meets,5.98,1.1
2638,mega,6,1.64
5019,megan,5.46,1.27
8211,meh,4.72,1.13
7761,mehr,4.86,1.11
6981,mei,5.04,0.9
7977,mein,4.8,1.41
6602,meine,5.12,1.3
6242,mejor,5.2,1.46
8381,mek,4.65,0.84
2503,melbourne,6.04,1.43
8212,melhor,4.72,1.36
4810,melissa,5.5,1.09
2156,mellow,6.16,1.53
,melodic,7.35,1.77
,melodies,7.35,1.77
274,melody,7.35,1.77
7623,melt,4.9,1.13
6470,melting,5.14,1.57
2868,member,5.94,1.11
4011,members,5.66,1.22
2444,membership,6.06,1.02
,memberships,6.06,1.02
7176,membrane,5,1.17
,membranes,5,1.17
7694,memo,4.88,1.15
2788,memoir,5.96,1.24
,memoirs,5.96,1.24
7361,memorial,4.96,1.75
,memorials,4.96,1.75
517,memories,7.08,1.19
1377,memory,6.46,1.28
,memos,4.88,1.15
5210,memphis,5.42,1.57
2869,men,5.94,1.39
2210,mend,6.14,1.21
,mended,6.14,1.21
,mending,6.14,1.21
,mends,6.14,1.21
7441,menos,4.94,0.93
3397,men's,5.8,1.37
7978,mental,4.8,1.82
6183,mente,5.21,1.24
5664,mention,5.32,0.74
5211,mentioned,5.42,1.11
,mentioning,5.42,1.11
,mentions,5.32,0.74
895,mentor,6.74,1.12
,mentors,6.74,1.12
2033,menu,6.2,1.29
,menus,6.2,1.29
1288,mercedes,6.51,1.95
2973,merchant,5.92,1.15
3919,merchants,5.68,1.45
,mercies,6.68,1.77
,merciful,6.68,1.77
,mercifully,6.68,1.77
5212,mercury,5.42,1.54
990,mercy,6.68,1.77
8267,mere,4.7,1.31
8538,merely,4.56,1.15
,merged,5.1,1.02
6698,merger,5.1,1.02
,mergers,5.1,1.02
,merges,5.1,1.02
,merging,5.1,1.02
896,merit,6.74,1.21
,merited,6.74,1.21
,meriting,6.74,1.21
,merits,6.74,1.21
7624,merrill,4.9,1.11
162,merry,7.56,1.15
7543,mes,4.92,1.07
7442,mesmo,4.94,1.24
9164,mess,3.94,1.57
2381,message,6.08,1.12
2716,messages,5.98,0.94
9229,messed,3.84,1.31
9002,messing,4.12,1.63
9350,messy,3.66,1.19
3323,met,5.82,0.92
4967,metabolism,5.47,1.5
5109,metal,5.44,1.28
2639,metals,6,1.35
4506,method,5.56,0.91
4916,methods,5.48,0.99
3161,metro,5.86,1.53
1760,metropolitan,6.3,1.68
6515,mets,5.14,1.21
7268,meu,4.98,0.71
5315,mexican,5.4,1.53
3246,mexico,5.84,1.72
6797,meyer,5.08,1.19
7695,mg,4.88,0.98
7087,mi,5.02,0.91
6144,mia,5.22,1.39
2096,miami,6.18,1.75
5764,mic,5.3,0.93
6699,mich,5.1,0.89
3827,michael,5.7,1.22
3577,michelle,5.76,1.42
5665,michigan,5.32,1.28
4403,microphone,5.58,1.21
,microphones,5.58,1.21
4215,microsoft,5.62,2.11
4849,mics,5.49,1.31
6054,mid,5.24,0.74
5584,middle,5.34,0.72
7911,mideast,4.82,1.56
2097,midnight,6.18,1.42
4251,midst,5.61,1.38
3733,midtown,5.72,1.41
7803,miedo,4.85,1.2
6844,mientras,5.06,0.92
7654,mig,4.9,1.58
6798,might,5.08,1.23
2789,mighty,5.96,1.31
,migrate,5.7,1.37
,migrated,5.7,1.37
,migrates,5.7,1.37
,migrating,5.7,1.37
3828,migration,5.7,1.37
7269,mij,4.98,1
7762,mijn,4.86,0.9
5765,mike,5.3,1.45
6423,mil,5.16,0.62
3829,mild,5.7,1.5
6982,mile,5.04,1.05
5766,miles,5.3,1.17
7362,miley,4.96,1.37
8047,military,4.78,1.75
,militia,4.78,1.75
,militiamen,4.78,1.75
1982,milk,6.22,1.93
6145,mill,5.22,1.27
5477,miller,5.36,1.03
256,million,7.38,1.43
133,millionaire,7.62,2.13
,millionaires,7.62,2.13
348,millions,7.26,1.54
4404,mills,5.58,0.97
6983,milton,5.04,1.47
5478,milwaukee,5.36,1.17
8094,min,4.76,0.74
2504,mind,6.04,1.28
2157,minds,6.16,1.23
1761,mine,6.3,1.36
2098,mineral,6.18,1
,minerals,6.18,1
8162,mines,4.74,1.55
8163,minha,4.74,0.99
5213,mini,5.42,1.07
8993,minimum,4.14,1.28
7840,mining,4.84,1.54
6342,minister,5.18,1.41
5316,ministers,5.4,1.77
4405,ministry,5.58,1.85
6700,minneapolis,5.1,1.56
6055,minnesota,5.24,1.53
8355,minor,4.66,1.26
,minorities,4.24,1.55
8887,minority,4.24,1.55
7443,mins,4.94,1.28
1378,mint,6.46,1.31
9153,minus,3.96,1.5
4811,minute,5.5,0.93
5873,minutes,5.28,0.9
6188,mio,5.2,1.1
7177,mir,5,1.09
6424,mira,5.16,1.43
123,miracle,7.64,1.89
216,miracles,7.44,1.94
,miraculous,7.64,1.89
,miraculously,7.64,1.89
6556,mirada,5.12,1.24
5767,miriam,5.3,0.99
1857,mirror,6.26,1.1
2283,mirrors,6.1,1.34
7696,mis,4.88,1.1
,misdemeanor,2.74,1.08
,misdemeanors,2.74,1.08
,misdentifies,3.56,1.4
9987,miserable,2.54,1.67
,miseries,2.68,2.04
9914,misery,2.68,2.04
9419,misidentified,3.56,1.4
,misidentify,3.56,1.4
,misidentifying,3.56,1.4
7088,mismo,5.02,1.3
9369,miss,3.64,1.63
9340,missed,3.68,1.24
9189,misses,3.9,1.37
9630,missile,3.24,1.89
9866,missiles,2.82,1.59
9448,missin,3.53,1.42
9774,missing,2.98,1.38
3920,mission,5.68,1.35
,missionaries,5.92,1.9
2974,missionary,5.92,1.9
3921,mississippi,5.68,1.28
3734,missouri,5.72,1.71
,misspell,3.46,1.36
9491,misspelled,3.46,1.36
,misspelling,3.46,1.36
,misspells,3.46,1.36
,misstate,3.46,1.01
9492,misstated,3.46,1.01
,misstates,3.46,1.01
,misstating,3.46,1.01
7763,missy,4.86,1.55
3351,mist,5.82,1.58
9876,mistake,2.78,1.2
9394,mistaken,3.6,1.43
9805,mistakes,2.92,1.45
,mistaking,3.6,1.43
,misted,5.82,1.58
5110,mister,5.44,1.43
,misting,5.82,1.58
,mistook,3.6,1.43
,mists,5.82,1.58
3112,misty,5.88,1.88
,misunderstand,3.46,1.7
,misunderstanding,3.46,1.7
,misunderstandings,3.46,1.7
9493,misunderstood,3.46,1.7
5394,mit,5.38,1.26
6516,mitchell,5.14,1.31
3398,mix,5.8,0.93
4917,mixed,5.48,0.84
5317,mixtape,5.4,1.05
,mixtapes,5.4,1.05
3051,mixture,5.9,1.21
,mixtures,5.9,1.21
6886,mj,5.06,1.22
7313,ml,4.98,0.92
6984,mm,5.04,1.35
3830,mmm,5.7,1.56
1858,mmmm,6.26,1.56
2790,mmmmm,5.96,1.86
7841,mn,4.84,0.77
7444,mo,4.94,1.32
8864,moan,4.27,2.23
,moaned,4.27,2.23
,moaning,4.27,2.23
,moans,4.27,2.23
9420,mob,3.56,1.86
1611,mobile,6.36,1.21
5874,mode,5.28,1.18
3399,model,5.8,1.09
2211,models,6.14,1.58
5585,moderate,5.34,1.27
1344,modern,6.48,1.18
5157,modes,5.43,1.21
3013,modest,5.9,1.42
,modestly,5.9,1.42
,modesty,5.9,1.42
3735,modification,5.72,1.47
4850,modified,5.49,1.08
,modifies,5.72,1.47
,modify,5.72,1.47
,modifying,5.72,1.47
7660,moe,4.9,1.24
5918,moet,5.27,1.44
7590,moi,4.91,1.49
9221,mold,3.85,1.8
4559,molecular,5.55,1.39
4012,molecules,5.66,1.53
124,mom,7.64,1.87
3922,moment,5.68,1.11
3524,momento,5.78,1.65
2321,moments,6.1,1.11
926,momma,6.72,1.74
230,mommy,7.42,1.76
709,moms,6.88,1.77
837,mom's,6.78,1.62
6343,mon,5.18,1.59
8831,monday,4.3,1.89
9065,mondays,4.06,1.78
5479,monde,5.36,1.27
6146,mondo,5.22,1.18
2563,monetary,6.02,1.39
312,money,7.3,1.84
4702,monica,5.52,1.43
,monies,7.3,1.84
6344,monitor,5.18,1.79
6887,monitoring,5.06,1.25
1807,monkey,6.28,1.71
9494,monster,3.46,1.92
9483,monsters,3.47,1.68
5111,montana,5.44,1.28
7363,montclair,4.96,0.99
4703,montgomery,5.52,1.23
6345,month,5.18,1.34
5214,monthly,5.42,0.91
6425,months,5.16,0.87
3324,montreal,5.82,1.26
3084,mood,5.88,1.64
,moods,5.88,1.64
7697,moody's,4.88,1.14
334,moon,7.28,1.37
187,moonlight,7.5,1.36
,moonlit,7.5,1.36
,moons,7.28,1.37
5112,moore,5.44,1.59
1228,moral,6.54,1.86
3493,morality,5.78,1.8
,morals,6.54,1.86
1915,more,6.24,0.96
6243,moreover,5.2,0.97
6056,morgan,5.24,1.29
6799,morgen,5.08,0.9
8732,morir,4.4,1.41
8772,morn,4.36,1.63
5020,mornin,5.46,1.68
1191,morning,6.56,1.95
1705,mornings,6.32,2.23
6800,morris,5.08,1.28
8845,mortal,4.29,2.03
8748,mortality,4.38,2.55
,mortals,4.29,2.03
9200,mortgage,3.88,1.94
,mortgages,3.88,1.94
5875,morton,5.28,0.95
6888,moscow,5.06,1.42
3954,moses,5.67,1.53
1983,most,6.22,1.56
3400,mostly,5.8,1.16
107,mother,7.68,1.67
10116,motherfucker,2.02,1.66
9997,motherfuckers,2.51,2.47
9963,motherfuckin,2.58,2.3
9933,motherfucking,2.64,2.46
,mothering,7.68,1.67
6701,mother-in-law,5.1,2.03
,motherly,7.68,1.67
269,mothers,7.36,1.47
114,mother's,7.66,1.29
3578,motion,5.76,1.41
,motions,5.76,1.41
1026,motivation,6.66,1.45
,motivational,6.66,1.45
,motivations,6.66,1.45
5536,motive,5.35,1.49
6017,motives,5.24,1.45
4918,motor,5.48,1.18
6147,motors,5.22,1.42
7392,mou,4.96,1.29
4613,mount,5.54,1.27
1504,mountain,6.4,1.71
633,mountains,6.96,1.19
4507,mounted,5.56,1.33
,mounting,5.56,1.33
,mounts,5.56,1.33
9898,mourn,2.72,1.88
,mourned,2.86,1.94
9867,mourners,2.82,1.6
,mourning,2.86,1.94
9835,mourns,2.86,1.94
5480,mouse,5.36,1.96
3401,mouth,5.8,1.2
4297,mouths,5.6,1.29
3736,move,5.72,1.36
6889,moved,5.06,1.24
2870,movement,5.94,0.93
3352,movements,5.82,1.07
3923,moves,5.68,0.96
763,movie,6.84,1.98
280,movies,7.34,1.45
3525,movin,5.78,1.28
5481,moving,5.36,1.5
1612,mp3,6.36,1.51
5768,mph,5.3,1.28
5977,mr,5.26,1.14
3085,mrs,5.88,1.41
8637,ms,4.48,1.55
7445,msg,4.94,1.7
5482,msn,5.36,1.75
6346,mt,5.18,0.98
4120,mtv,5.64,1.76
6517,mu,5.14,1.26
3657,much,5.74,1.32
2640,mucho,6,1.26
8048,mud,4.78,1.78
8733,muero,4.4,1.41
862,muffin,6.76,1.24
8164,muito,4.74,0.92
6890,mujer,5.06,1.32
3831,multiple,5.7,1.46
960,mum,6.7,1.75
4406,mumbai,5.58,1.73
5978,mundo,5.26,0.92
7912,municipal,4.82,0.98
9023,murda,4.1,1.69
10165,murder,1.48,1.01
10149,murdered,1.8,1.63
,murderer,1.48,1.01
,murderers,1.48,1.01
,murdering,1.8,1.63
,murders,1.48,1.01
5769,murphy,5.3,0.89
6426,murray,5.16,1.17
2445,muscle,6.06,1.33
1174,muscles,6.56,1.41
991,museum,6.68,1.46
838,museums,6.78,1.72
22,music,8.02,1.12
392,musical,7.22,1.56
,musically,7.22,1.56
610,musician,6.98,1.24
349,musicians,7.26,1.05
8400,muslim,4.64,1.7
8832,muslims,4.3,1.39
8594,muss,4.52,1.07
7913,must,4.82,1.44
8922,mutha,4.22,1.53
9537,muthafucka,3.4,2.19
9766,muthafuckin,3,2.31
2212,mutual,6.14,1.11
6347,muy,5.18,0.9
2158,my,6.16,1.28
6985,myers,5.04,1.37
1762,myself,6.3,1.67
8165,myspace,4.74,1.8
4614,mysterious,5.54,1.67
,mysteriously,5.54,1.67
4121,mystery,5.64,1.85
3052,myth,5.9,1.42
,mythical,5.9,1.42
,myths,5.9,1.42
7914,n,4.82,1.08
8708,na,4.42,0.93
7979,naar,4.8,0.81
8356,nach,4.66,1.29
7089,nacht,5.02,1.44
8709,nada,4.42,1.13
7764,nadie,4.86,1.25
8614,nah,4.5,1.13
7980,nai,4.8,1.39
8268,nail,4.7,1.43
7270,nails,4.98,1.48
8757,naive,4.37,1.9
,naively,4.37,1.9
,naivety,4.37,1.9
3014,naked,5.9,2.29
,nakedly,5.9,2.29
3658,name,5.74,1.17
4407,named,5.58,0.86
6057,namely,5.24,1.27
5666,names,5.32,1
2746,nana,5.98,1.76
5318,nancy,5.4,1.32
7842,nao,4.84,1.31
1415,nap,6.44,1.92
7364,napoleon,4.96,2.02
,narrate,6.16,1.24
,narrated,6.16,1.24
,narrates,6.16,1.24
,narrating,6.16,1.24
,narration,6.16,1.24
2135,narrative,6.16,1.24
8569,narrow,4.54,0.99
6801,nas,5.08,0.9
8049,nasdaq,4.78,1.5
3325,nashville,5.82,1.32
5667,nassau,5.32,1.43
9939,nasty,2.62,1.23
7500,nate,4.94,1.36
6058,nathan,5.24,1.17
2446,nation,6.06,1.5
2717,national,5.98,1.15
2641,nations,6,1.55
2871,nation's,5.94,1.54
3247,nationwide,5.84,1.25
2564,native,6.02,1.41
3445,natives,5.79,1.46
7544,nato,4.92,1.7
1192,natural,6.56,1.49
810,naturally,6.8,1.6
369,nature,7.24,1.8
,naughtily,4.94,1.98
,naughtiness,4.94,1.98
7446,naughty,4.94,1.98
4919,naval,5.48,1.25
4408,navy,5.58,1.51
8833,naw,4.3,1.17
5483,nba,5.36,1.85
4704,nbc,5.52,1.15
5979,nc,5.26,1.38
6603,ncaa,5.12,1.52
10178,ncov19,1.84,1.04
7981,nd,4.8,0.95
7915,ne,4.82,0.56
3737,near,5.72,1.6
3924,nearby,5.68,1.19
2284,nearer,6.1,1.18
2531,nearest,6.02,1.25
5980,nearly,5.26,1.24
,nearness,5.72,1.6
927,neat,6.72,1.44
,neatly,6.72,1.44
7090,necesito,5.02,1.33
6802,necessarily,5.08,1.12
7091,necessary,5.02,1.15
6244,necessity,5.2,1.46
5770,neck,5.3,1.18
688,necklace,6.9,1.17
,necklaces,6.9,1.17
,necks,5.3,1.18
7625,nee,4.9,0.93
7843,need,4.84,1.43
5021,needed,5.46,1.49
9190,neediest,3.9,1.57
7447,needing,4.94,1.75
8773,needle,4.36,1.83
9073,needles,4.04,1.99
7271,needs,4.98,1.52
,needy,3.9,1.57
10029,negative,2.42,1.05
,negativity,2.42,1.05
9887,neglect,2.76,2.17
9848,neglected,2.84,1.75
,neglectful,2.76,2.17
,neglectfully,2.76,2.17
,neglecting,2.76,2.17
2382,negotiate,6.08,1.28
,negotiated,6.08,1.28
6245,negotiating,5.2,1.48
5668,negotiations,5.32,1.38
9010,negro,4.12,1.66
8638,negroes,4.48,2.04
2383,neighbor,6.08,1.38
1554,neighborhood,6.38,1.29
2384,neighborhoods,6.08,1.47
3015,neighbors,5.9,1.59
,neighbour,6.08,1.38
,neighbourhood,6.38,1.29
,neighbourhoods,6.38,1.29
7178,neil,5,0.76
8653,neither,4.46,1.28
6891,nel,5.06,0.96
6096,nelly,5.22,1.77
5395,nelson,5.38,1.28
8315,nem,4.68,1.1
7025,nena,5.02,1.19
1984,neon,6.22,1.23
1229,nephew,6.54,1.62
1379,nephews,6.46,1.79
7982,nerd,4.8,1.87
,nerds,4.8,1.87
,nerdy,4.8,1.87
7939,nerve,4.82,1.48
8644,nerves,4.47,1.7
9791,nervous,2.94,1.33
,nervously,2.94,1.33
,nervousness,2.94,1.33
2791,net,5.96,1.03
2792,netflix,5.96,1.87
2718,netherlands,5.98,1.33
6148,nets,5.22,0.93
2642,network,6,1.28
,networked,6.12,1.26
2261,networking,6.12,1.26
3402,networks,5.8,1.37
,neurotic,3.42,1.47
,neurotically,3.42,1.47
,neuroticism,3.42,1.47
6744,neutral,5.08,1.11
,neutrality,5.08,1.11
8269,neva,4.7,0.99
9574,never,3.34,1.24
7698,nevertheless,4.88,1.42
790,new,6.82,1.14
7092,newark,5.02,1.1
1311,newest,6.5,1.56
1312,newly,6.5,1.25
3162,newman,5.86,1.21
4298,news,5.6,1.55
1706,newspaper,6.32,1.35
2565,newspapers,6.02,1.46
,newsstand,5.74,1.26
3659,newsstands,5.74,1.26
3494,newton,5.78,1.02
4216,next,5.62,1.07
6427,nfl,5.16,1.9
7916,ng,4.82,1.21
7626,nh,4.9,0.68
6702,nhl,5.1,1.46
7545,ni,4.92,1.1
257,nice,7.38,1.51
4615,nicholas,5.54,0.91
8734,nicht,4.4,1.2
8270,nichts,4.7,1.18
6703,nick,5.1,1.58
4508,nickel,5.56,1.54
,nickels,5.56,1.54
4920,nicole,5.48,1.57
7448,nie,4.94,0.91
928,niece,6.72,1.36
1027,nieces,6.66,1.45
8183,niemand,4.73,1.19
8135,niente,4.76,1.56
8710,niet,4.42,1.39
8011,niets,4.8,1.35
9592,nigga,3.32,2.05
9783,niggas,2.96,2.07
9775,niggaz,2.98,2.13
10032,nigger,2.41,1.88
1985,night,6.22,1.3
10049,nightmare,2.32,1.87
9971,nightmares,2.56,1.65
,nightmarish,2.32,1.87
1269,nights,6.52,1.52
4122,night's,5.64,1.55
7449,nih,4.94,0.59
2322,nike,6.1,1.39
5981,nina,5.26,1.31
5215,nine,5.42,1.13
5669,nineteenth,5.32,1.45
3660,ninja,5.74,1.64
2719,nintendo,5.98,1.73
6348,ninth,5.18,0.98
3661,nite,5.74,1.41
5396,nitrogen,5.38,1.44
9173,nixon,3.92,1.74
8401,nj,4.64,1.08
8466,nme,4.6,0.78
9472,no,3.48,1.3
594,noble,7,1.6
,nobler,7.15,1.6
,noblest,7.3,1.6
,nobodies,3.64,1.24
9370,nobody,3.64,1.24
7093,noch,5.02,1.15
