Rank,Word,Happiness_Score,Standard_Deviation
2596,archives,6,1.44
6392,are,5.16,0.79
5069,area,5.44,0.88
5546,areas,5.34,1.02
3205,arena,5.84,1.02
8784,arent,4.34,1.14
9005,aren't,4.12,1.29
3710,argentina,5.72,1.88
9144,argh,3.96,1.43
9761,argue,3,1.54
9556,argued,3.36,1.47
9762,argues,3,1.68
9729,arguing,3.06,1.36
,arguingly,3,1.54
9679,argument,3.14,1.55
,argumentative,3,1.52
,argumentatively,3,1.52
9742,arguments,3.04,1.52
2012,arise,6.2,1.12
2186,arises,6.14,1.11
3290,arising,5.82,1.4
4346,arizona,5.58,1.42
5274,arkansas,5.4,1.23
4971,arlington,5.46,1.66
4761,arm,5.5,1.02
9224,armed,3.84,1.86
7511,armies,4.92,1.89
5359,arms,5.38,0.99
8625,army,4.48,2.01
7731,arnold,4.86,1.36
1535,arose,6.38,1.21
4177,around,5.62,0.95
4258,arranged,5.6,1.34
3122,arrangement,5.86,1.12
3792,arrangements,5.7,1.23
4555,array,5.55,1.16
10024,arrest,2.42,1.49
10156,arrested,1.64,1.01
,arresting,1.64,1.01
9895,arrests,2.72,1.59
1679,arrival,6.32,1.08
1680,arrive,6.32,0.84
2187,arrived,6.14,1.4
4661,arrow,5.52,1.5
8953,arsenal,4.18,1.84
1102,art,6.6,1.5
6107,artery,5.22,1.3
5070,arthur,5.44,1.09
4671,article,5.52,1.4
3123,articles,5.86,1.18
9181,artificial,3.9,1.57
9203,artillery,3.88,1.54
879,artist,6.74,1.44
468,artistic,7.12,1.24
776,artists,6.82,1.42
1141,arts,6.58,1.94
6108,as,5.22,0.76
7952,asap,4.8,1.54
9954,ashamed,2.59,1.31
8642,ashes,4.47,1.96
5164,ashley,5.42,1.25
8018,asi,4.78,1.06
1951,asia,6.22,1.95
1681,asian,6.32,1.49
8073,aside,4.76,0.92
6197,ask,5.2,1.87
5442,asked,5.36,1.27
7793,askin,4.86,1.24
5924,asking,5.26,0.99
6020,asks,5.24,0.87
2188,asleep,6.14,1.75
3969,aspect,5.66,1.06
4457,aspects,5.56,1.4
9209,ass,3.86,1.86
,assassin,1.48,1.01
,assassinate,1.48,1.01
,assassinated,1.48,1.01
,assassinating,1.48,1.01
,assassination,1.48,1.01
9972,assault,2.56,1.66
1730,assembled,6.31,1.39
4259,assembly,5.6,1.09
7139,assess,5,1.37
5831,assessment,5.28,1.37
1208,asset,6.54,1.62
1013,assets,6.66,1.62
10034,asshole,2.4,1.6
5071,assigned,5.44,1.23
1438,assist,6.42,1.29
2757,assistance,5.96,1.43
4178,assistant,5.62,1.1
4179,associate,5.62,1.07
3879,associated,5.68,1.04
4458,associates,5.56,1.63
3970,association,5.66,1.24
2405,associations,6.06,1.57
8193,assume,4.72,1.18
7326,assumed,4.96,1.44
6741,assuming,5.08,1.41
,assumingly,5.08,1.41
5819,assumption,5.29,1.8
7935,assumptions,4.82,1.72
2013,assured,6.2,1.56
4075,asterisk,5.64,1.21
,astonish,7.42,1.54
,astonished,7.42,1.54
,astonishes,7.42,1.54
,astonishing,7.42,1.54
,astonishment,7.42,1.54
8973,astray,4.16,1.43
7594,at,4.9,0.74
8019,at;t,4.78,1.07
2067,ate,6.18,1.45
1888,athletes,6.24,1.38
1368,athletic,6.46,1.51
6850,atl,5.06,0.96
5724,atlanta,5.3,1.42
2068,atlantic,6.18,1.21
7512,atleast,4.92,0.85
3793,atm,5.7,1.76
1738,atmosphere,6.3,1.2
8442,atomic,4.61,1.79
4762,atoms,5.5,1.22
7881,att,4.82,1.1
4347,attached,5.58,1.46
2406,attachment,6.06,1.52
10025,attack,2.42,1.43
9991,attacked,2.52,1.55
10009,attacks,2.46,1.46
1066,attained,6.62,1.4
4459,attempt,5.56,1.3
4866,attempted,5.48,1.57
2671,attempting,5.98,1
4569,attempts,5.54,1.2
2597,attend,6,0.97
4570,attended,5.54,1.11
2598,attending,6,1.11
,attends,6,0.97
3362,attention,5.8,1.48
3363,attitude,5.8,1.59
3187,attitudes,5.86,1.31
9006,attorney,4.12,1.3
913,attract,6.72,1.14
435,attracted,7.16,1.17
67,attraction,7.82,1.02
,attractions,7.82,1.02
192,attractive,7.48,0.97
,attractively,7.48,0.97
,attractiveness,7.48,0.97
3794,attribute,5.7,1.27
2980,attributed,5.9,1.43
3457,attributes,5.78,1.02
,attributing,5.9,1.43
7513,au,4.92,1.05
8670,auch,4.44,1.15
3458,auction,5.78,1.54
,auctioned,5.78,1.54
,auctioning,5.78,1.54
,auctions,5.78,1.54
2672,audience,5.98,1.44
2355,audiences,6.08,1.05
3061,audio,5.88,1.88
8526,auf,4.56,1.15
5072,aug,5.44,1.37
2673,august,5.98,1.44
6944,aunque,5.04,0.99
1014,aunt,6.66,1.57
6851,aus,5.06,1
4763,austin,5.5,1.07
1476,australia,6.4,1.59
1836,australian,6.26,1.23
3062,austria,5.88,1.29
,austrian,5.88,1.29
2674,author,5.98,1.39
8741,authorities,4.38,1.16
8142,authority,4.74,1.59
2758,authorized,5.96,1.55
1952,authors,6.22,1.68
3971,auto,5.66,1.59
2599,automatic,6,1.47
2600,automatically,6,1.56
2139,automobile,6.16,1.38
,automobiles,6.16,1.38
3188,autonomy,5.86,1.59
,autos,5.66,1.59
650,autumn,6.94,1.5
7406,av,4.94,0.77
1142,available,6.58,1.09
2601,avatar,6,1.63
,avatars,6,1.63
6653,ave,5.1,0.84
6927,avec,5.05,1.04
3880,avenue,5.68,1.17
,avenues,5.68,1.17
6654,average,5.1,0.91
2189,aviation,6.14,1.34
1953,avid,6.22,1.15
9680,avoid,3.14,1.58
,avoidant,3.14,1.58
9129,avoided,3.98,1.52
,avoiding,3.14,1.58
,avoids,3.14,1.58
6477,aw,5.14,1.23
4847,awaits,5.49,1.4
3626,awake,5.74,1.47
58,award,7.86,1.57
249,awarded,7.38,1.16
419,awards,7.18,1.21
3459,aware,5.78,1.47
2069,awareness,6.18,1.29
8906,away,4.22,1.27
2829,awe,5.94,2.09
139,awesome,7.6,1.59
,awesomely,7.6,1.59
,awesomeness,7.6,1.59
9801,awful,2.92,1.94
,awfully,2.92,1.94
,awfulness,2.92,1.94
7810,awhile,4.84,0.96
9376,awkward,3.62,1.4
,awkwardly,3.62,1.4
546,awsome,7.04,1.8
6566,aww,5.12,1.84
2675,awww,5.98,1.78
4571,awwww,5.54,1.81
8550,axe,4.54,1.86
5073,axis,5.44,1.4
5547,ay,5.34,0.96
5165,aye,5.42,1.64
7882,ayer,4.82,1.12
6757,az,5.08,0.99
7811,b,4.84,1.25
7883,b/c,4.82,1.32
8020,b1,4.78,0.97
7884,b2,4.82,1.1
8382,b3,4.64,0.98
7667,b4,4.88,1.26
7514,b6,4.92,0.83
7812,b7,4.84,1.06
8296,ba,4.68,1.28
777,babe,6.82,1.27
1784,babes,6.28,1.75
200,babies,7.46,1.5
320,baby,7.28,1.85
7314,babylon,4.98,1.91
6293,back,5.18,1.24
6567,backed,5.12,1.38
5166,background,5.42,1.21
,backgrounds,5.42,1.21
